id,listing_url,name,picture_url,host_since,neighbourhood,latitude,longitude,bedrooms,square_feet,price,number_of_reviews,review_scores_rating
8029798,https://www.airbnb.com/rooms/8029798,"Clean, cozy, and spacious apartment",https://a0.muscache.com/im/pictures/102328411/e37bd1af_original.jpg?aki_policy=large,2014-04-27,Mission District,37.755961358466145,-122.40953015706769,1,,$75.00,2,80
1623609,https://www.airbnb.com/rooms/1623609,Private suite - in vibrant Mission,https://a0.muscache.com/im/pictures/25775317/462c2e9a_original.jpg?aki_policy=large,2013-09-04,Mission District,37.75942336176793,-122.407542379533,1,,$155.00,132,98
16324639,https://www.airbnb.com/rooms/16324639,Heart of the Mission New Cozy Charmer,https://a0.muscache.com/im/pictures/676308a2-41ac-4490-ab23-bca0d2549550.jpg?aki_policy=large,2011-05-25,Mission District,37.75993231387472,-122.4213666919081,2,,$250.00,4,90
17501306,https://www.airbnb.com/rooms/17501306,Quaint bedroom in the heart of SF,https://a0.muscache.com/im/pictures/dd4860f4-c9ae-4f1f-a130-cca66b458df7.jpg?aki_policy=large,2017-02-23,Mission District,37.77021194835183,-122.42289864996941,1,,$55.00,8,97
591431,https://www.airbnb.com/rooms/591431,Big Victorian home in ♥ of Mission,https://a0.muscache.com/im/pictures/7799646/3b5b5eb9_original.jpg?aki_policy=large,2011-06-21,Mission District,37.75065685054285,-122.4234918406435,3,,$450.00,9,83
9351735,https://www.airbnb.com/rooms/9351735,Your Bright & Spacious Mission home,https://a0.muscache.com/im/pictures/8080d753-dc5e-4912-960f-10bbfcf8fc95.jpg?aki_policy=large,2015-11-07,Mission District,37.74944921910473,-122.40955555582333,3,,$250.00,45,92
1962559,https://www.airbnb.com/rooms/1962559,Comfy & quiet. Awesome location,https://a0.muscache.com/im/pictures/2d997150-b86d-4705-863b-da6cf185be84.jpg?aki_policy=large,2013-11-20,Noe Valley,37.75375109050484,-122.42520109079176,2,,$150.00,1,100
6926901,https://www.airbnb.com/rooms/6926901,Victorian in the heart of Mission,https://a0.muscache.com/im/pictures/87748089/23821428_original.jpg?aki_policy=large,2011-12-27,Mission District,37.756415424257035,-122.41285126596114,2,,$300.00,21,97
12366392,https://www.airbnb.com/rooms/12366392,Spacious & sunny 1br apartment,https://a0.muscache.com/im/pictures/d803b0ed-d4a4-4f66-a95a-b6bf3d56381f.jpg?aki_policy=large,2012-12-04,Mission District,37.76772248809533,-122.4221520406975,1,,$170.00,4,100
5943416,https://www.airbnb.com/rooms/5943416,Noe Valley/Mission Studio,https://a0.muscache.com/im/pictures/74005983/127c6d70_original.jpg?aki_policy=large,2013-02-24,,37.75151485225926,-122.42450179888883,0,,$190.00,1,
1339473,https://www.airbnb.com/rooms/1339473,Heart of the Mission!,https://a0.muscache.com/im/pictures/53192919/dfd26034_original.jpg?aki_policy=large,2013-07-03,Mission District,37.754400534358474,-122.41250701086649,1,,$230.00,29,91
10940485,https://www.airbnb.com/rooms/10940485,Room in Valencia Flat,https://a0.muscache.com/im/pictures/e9ab183b-7ba9-4c1f-ad9c-fa2e9aa7ff9d.jpg?aki_policy=large,2013-05-20,Mission District,37.75309746814996,-122.41996790277354,1,,$115.00,25,99
10792779,https://www.airbnb.com/rooms/10792779,Sunny & Modern Mission Gem,https://a0.muscache.com/im/pictures/8982b600-9401-4a4e-b621-b322be8dfedb.jpg?aki_policy=large,2010-07-16,Mission District,37.7578040498004,-122.42144344598648,1,,$95.00,6,93
5414237,https://www.airbnb.com/rooms/5414237,A Sunshine Lit Double Suite,https://a0.muscache.com/im/pictures/108115340/9aee3749_original.jpg?aki_policy=large,2012-02-07,Mission District,37.749702347860264,-122.40663746861225,1,,$90.00,31,95
6954332,https://www.airbnb.com/rooms/6954332,Beautiful Room w/ Bay Window in the Mission!,https://a0.muscache.com/im/pictures/3dd4c177-c1fe-41cc-b752-382adcb3e4df.jpg?aki_policy=large,2011-11-22,Mission District,37.76645744817737,-122.42535429433488,1,,$95.00,11,95
10809367,https://www.airbnb.com/rooms/10809367,Nice Mission Apartment Walk to BART,https://a0.muscache.com/im/pictures/3d9f6f6d-b2c3-41df-bc52-c01bceb89c23.jpg?aki_policy=large,2013-08-26,Mission District,37.750897616344716,-122.4148136404558,1,,$350.00,0,
815123,https://www.airbnb.com/rooms/815123,Cozy studio in the Mission,https://a0.muscache.com/im/pictures/7a52f3d4-fcf4-4377-acf8-51a72b02b783.jpg?aki_policy=large,2011-08-21,Mission District,37.75110864696127,-122.41873225693658,1,170,$130.00,8,100
1388523,https://www.airbnb.com/rooms/1388523,Mission Dolores Noe Valley Studio,https://a0.muscache.com/im/pictures/20902885/e50a937a_original.jpg?aki_policy=large,2011-05-01,Mission District,37.75526257806803,-122.42496642217908,0,,"$4,000.00",40,94
765914,https://www.airbnb.com/rooms/765914,"Gorgeous Mission Loft, Great Light!",https://a0.muscache.com/im/pictures/105786272/16e995e8_original.jpg?aki_policy=large,2012-11-02,Mission District,37.75691788872127,-122.41116436354287,1,,$349.00,20,98
225205,https://www.airbnb.com/rooms/225205,Private Mission Room Near Valencia,https://a0.muscache.com/im/pictures/2242552/ce10ae8f_original.jpg?aki_policy=large,2011-09-17,Mission District,37.76096715422161,-122.42313045777621,1,,$115.00,231,94
6795192,https://www.airbnb.com/rooms/6795192,Sunny two-bedroom in vibrant Mission District,https://a0.muscache.com/im/pictures/8a2af858-06bb-40a7-bb9f-6bb99cf32233.jpg?aki_policy=large,2012-03-19,Mission District,37.758493711341174,-122.41579986838197,2,,$170.00,3,100
5775177,https://www.airbnb.com/rooms/5775177,Modern Mission Apt. w/ Private Bath,https://a0.muscache.com/im/pictures/c32152dc-1d8f-4486-b803-15928c65c19a.jpg?aki_policy=large,2014-09-07,Mission District,37.7482540379814,-122.41768159134365,1,,$115.00,12,100
8907289,https://www.airbnb.com/rooms/8907289,2-Room Suite in Vibrant Mission,https://a0.muscache.com/im/pictures/47dad0f8-47fd-4c04-8114-dd47d652da71.jpg?aki_policy=large,2013-05-31,Mission District,37.75267808399354,-122.4075329340006,1,,$133.00,97,99
13953008,https://www.airbnb.com/rooms/13953008,Large 1bd condo in Mission Dolores!,https://a0.muscache.com/im/pictures/17b382ad-f36a-4b9d-82e7-42cfeacd847f.jpg?aki_policy=large,2014-08-16,,37.76455720635689,-122.4239801424316,1,,$232.00,18,98
16232349,https://www.airbnb.com/rooms/16232349,Cozy Mission apt,https://a0.muscache.com/im/pictures/5c0aeace-ceed-4bcd-b5ae-2cc8251bbfa1.jpg?aki_policy=large,2016-05-12,,37.75158800248462,-122.41876952844464,1,,$100.00,0,
8384398,https://www.airbnb.com/rooms/8384398,cozy apartment in the Mission,https://a0.muscache.com/im/pictures/0248a173-b85e-4660-a905-f41173e7dcb3.jpg?aki_policy=large,2011-06-13,Mission District,37.756184176195006,-122.42144703721623,1,,$200.00,23,98
223213,https://www.airbnb.com/rooms/223213,Sunny condo - Mission District,https://a0.muscache.com/im/pictures/2014563/45f44d1b_original.jpg?aki_policy=large,2011-09-01,Mission District,37.756988702134436,-122.40856377104949,2,1100,$450.00,0,
16363397,https://www.airbnb.com/rooms/16363397,Private BDRM/BA in trendy SF Apt w/360 views!,https://a0.muscache.com/im/pictures/51c9cb97-eefb-4f03-ba03-90e74bf6f442.jpg?aki_policy=large,2014-10-13,,37.763135870588805,-122.40796537118396,1,,$80.00,2,100
5468024,https://www.airbnb.com/rooms/5468024,"large, comfy br in fun neighborhood",https://a0.muscache.com/im/pictures/77826213/764b894b_original.jpg?aki_policy=large,2014-06-27,Mission District,37.74907405042183,-122.4124016369946,1,,$99.00,88,92
1356129,https://www.airbnb.com/rooms/1356129,Private Garden Room in Victorian Home!,https://a0.muscache.com/im/pictures/e5bb6eb3-f4ff-4511-a0f1-4b66c521ca44.jpg?aki_policy=large,2013-07-08,Noe Valley,37.750835474194346,-122.42341140070398,1,,$145.00,133,92
